price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.00689999999,9.113249465762552,2022-09-25T02:00:35,592,8,7,20,16
0.77,1018.357713981496,2022-09-25T02:01:23,947,22,0,0,22
0.0015,1.9838137285353816,2022-09-25T02:01:35,569,13,12,18,17
0.0015,1.9838137285353816,2022-09-25T02:01:35,569,16,7,9,16
0.0,0.0,2022-09-25T02:02:11,1034,3,14,16,16
0.045,59.51441185606145,2022-09-25T02:02:11,172,23,1,15,6
0.033,43.6439020277784,2022-09-25T02:02:11,217,15,2,20,3
0.033,43.6439020277784,2022-09-25T02:02:11,839,18,8,7,23
0.0325,42.98263078493327,2022-09-25T02:02:11,874,18,26,19,20
0.033,43.6439020277784,2022-09-25T02:02:11,121,23,20,11,25
0.0,0.0,2022-09-25T02:02:35,765,14,6,0,22
1.353535,1790.1075433687586,2022-09-25T02:02:35,768,1,6,0,0
0.0928999,122.86406466637608,2022-09-25T02:02:47,711,15,0,10,25
0.0019,2.5128307228114832,2022-09-25T02:03:11,204,0,15,17,22
0.0039,5.157915694191992,2022-09-25T02:03:11,243,20,0,0,16
0.0035,4.62889869991589,2022-09-25T02:03:23,197,7,0,3,16
0.294,388.8274907929348,2022-09-25T02:03:23,563,18,6,0,14
0.0059,7.803000665572501,2022-09-25T02:03:35,427,15,26,11,20
0.0081,10.71259413409106,2022-09-25T02:03:35,315,23,6,12,0
0.00069,0.9125543151262756,2022-09-25T02:03:47,552,8,0,0,16
0.0755,99.8519576696142,2022-09-25T02:03:47,352,6,0,12,16
0.00123467,1.6329035308071864,2022-09-25T02:04:23,192,15,6,0,25
0.098,129.60916359764494,2022-09-25T02:04:23,891,18,6,16,25
0.0033,4.364390202777839,2022-09-25T02:04:35,934,16,0,5,23
0.0,0.0,2022-09-25T02:04:47,223,15,0,16,16
0.0034,4.496644451346865,2022-09-25T02:04:47,361,5,0,0,23
0.0019,2.5128307228114832,2022-09-25T02:04:47,204,6,5,17,10
0.00069,0.9125543151262756,2022-09-25T02:05:11,552,8,0,0,16
0.0,0.0,2022-09-25T02:06:11,223,0,7,12,16
0.44,581.9186937037119,2022-09-25T02:06:11,76,17,0,0,0
1.59,2102.8425522475045,2022-09-25T02:06:59,477,5,6,0,6
0.117,154.73747082575977,2022-09-25T02:07:23,788,16,6,0,16
0.13,171.93052313973308,2022-09-25T02:07:23,174,12,23,5,13
0.0417,55.075725112037055,2022-09-25T01:29:35,232,0,0,0,16
0.059,78.030006655725,2022-09-25T02:07:47,566,3,7,21,20
0.0,0.0,2022-09-25T02:08:11,923,17,7,9,0
0.0045,5.951441185606145,2022-09-25T02:08:11,414,23,24,10,17
0.02,26.450849713805088,2022-09-25T02:08:23,655,17,19,11,17
0.06,79.35254914141527,2022-09-25T02:08:59,52,19,0,21,20
0.08,105.80339885522037,2022-09-25T02:09:23,981,3,3,4,16
0.0888,117.44177272929458,2022-09-25T02:09:23,346,17,22,14,16
0.084,111.09356879798138,2022-09-25T02:09:23,960,3,3,4,16
0.0842,111.3580772951194,2022-09-25T02:09:23,70,18,3,16,16
1.19,1569.7978306223158,2022-09-25T01:31:23,267,17,2,19,17
0.0,0.0,2022-09-25T02:10:11,165,15,19,12,23
0.0099,13.09317060833352,2022-09-25T02:10:11,707,1,0,0,0
0.022,29.0959346851856,2022-09-25T02:10:59,599,23,0,0,0
0.065,85.96526156986654,2022-09-25T02:10:59,384,16,5,15,6
0.065,85.96526156986654,2022-09-25T02:10:59,245,19,5,21,7
0.067,88.61034654124704,2022-09-25T02:11:35,949,16,5,21,6
0.0659,87.15554980698776,2022-09-25T02:11:47,255,23,1,21,14
0.0033,4.364390202777839,2022-09-25T02:12:11,244,15,0,0,27
0.5675,750.5428606292194,2022-09-25T02:12:59,698,0,0,0,16
0.0285,37.69246084217225,2022-09-25T02:13:23,72,15,13,15,0
0.001,1.3225424856902543,2022-09-25T02:13:23,417,21,0,10,16
0.0139,18.383340551094538,2022-09-25T02:13:35,269,20,11,13,14
0.0304,40.17814625675353,2022-09-25T02:10:11,733,11,22,16,16
0.495,654.658530416676,2022-09-25T02:13:59,111,17,0,0,16
0.00198999,2.6318463210987493,2022-09-25T02:13:59,1000,23,23,18,9
0.00198999,2.6318463210987493,2022-09-25T02:13:59,1000,17,15,17,0
0.0022,2.90959346851856,2022-09-25T02:13:59,889,0,0,0,20
0.0023,3.041847717087585,2022-09-25T02:13:59,180,18,12,7,19
0.0018,2.3805764742424578,2022-09-25T02:13:59,188,3,7,17,6
0.0022,2.90959346851856,2022-09-25T02:13:59,889,23,18,20,17
0.32,423.2135954208814,2022-09-25T02:14:35,675,14,24,18,17
0.0045,5.951441185606145,2022-09-25T02:14:47,504,16,10,22,16
0.0,0.0,2022-09-25T02:15:23,508,23,0,10,8
0.007,9.25779739983178,2022-09-25T02:15:35,762,18,0,16,9
0.0,0.0,2022-09-25T02:15:47,337,18,19,19,25
0.0099,13.09317060833352,2022-09-25T02:15:47,269,16,12,12,5
0.0,0.0,2022-09-25T02:16:11,337,20,17,6,2
0.0034,4.496644451346865,2022-09-25T02:16:11,910,22,7,9,16
